SQ_CANDIDATO;CD_GENERO_N;CD_GRAU_INSTRUCAO_N;NR_PARTIDO_N;CD_OCUPACAO_N;CD_SITUCAO_N;CARGO_N;RECEITA_TOTAL_N;QTD_VOTOS_N;CUSTO_VOTO_N;DESPESA_CONTRATADA_N;VR_TOTAL_BEM_CANDIDATO_N
130000624459;0.4;0.8;0.19;0.277;0.5;0.6;0.02499915;0.036234;6.89936e-05;0.24717503899999999;0.037586761
80000628782;0.4;0.6;0.2;0.131;0.5;0.7;7e-06;1.3e-05;5.38462e-05;0.0;0.0
210000607264;0.4;0.8;0.11;0.999;0.5;0.7;0.00418662;0.009501;4.4065e-05;0.040587433;0.00010112600000000001
170000603098;0.2;0.8;0.2;0.257;0.5;0.7;0.00170259;0.009245;1.8416300000000002e-05;0.016805855;2e-05
190000608726;0.2;0.8;0.45;0.131;0.5;0.7;0.00360312;0.007208;4.9987799999999996e-05;0.03444184;0.000264
50000608114;0.2;0.6;0.15;0.999;0.4;0.6;0.000311;0.000624;4.98397e-05;0.00303759;0.0
160000623134;0.2;0.7;0.33;0.257;0.5;0.6;0.02372127;0.034206;6.93483e-05;0.236241007;0.033589671
170000614110;0.2;0.3;0.11;0.257;0.5;0.7;0.0007716;0.001728;4.46528e-05;0.0075;0.0002959
250000615207;0.4;0.8;0.14;0.257;0.5;0.6;0.00025;0.000891;2.8058400000000002e-05;0.002500055;0.000213148
90000602561;0.2;0.8;0.77;0.232;0.5;0.7;0.00264548;0.008595;3.07793e-05;0.024454761000000002;0.001239327
230000602393;0.4;0.8;0.15;0.277;0.5;0.6;0.0248659;0.004555;0.0005459034;0.244686525;0.002202554
190000608970;0.4;0.8;0.25;0.132;0.5;0.7;6.965e-05;0.000175;3.98e-05;0.0;2.024e-06
240000609633;0.4;0.6;0.45;0.999;0.5;0.6;0.00029724;0.001142;2.6028000000000002e-05;0.002487798;0.0
140000609406;0.2;0.6;0.11;0.278;0.5;0.7;0.0009858;0.002396;4.11436e-05;0.0095;0.0
190000615545;0.2;0.8;0.12;0.266;0.5;0.6;0.00033921;0.000819;4.14176e-05;0.002;0.0
130000610186;0.4;0.2;0.36;0.169;0.5;0.6;2.694e-05;5.2e-05;5.18077e-05;0.0002;5e-07
250000601549;0.2;0.5;0.5;0.531;0.5;0.7;1.806e-05;0.000145;1.24552e-05;0.0;0.0
190000610753;0.2;0.4;0.65;0.999;0.5;0.7;2.22e-05;8.5e-05;2.6117600000000002e-05;0.0;0.0
220000611846;0.2;0.5;0.11;0.278;0.5;0.7;0.00172028;0.003506;4.90667e-05;0.011250851000000001;0.00022693
130000612240;0.2;0.6;0.2;0.999;0.5;0.7;0.000403;0.001661;2.42625e-05;0.003999905;1e-05
110000609502;0.2;0.8;0.17;0.257;0.5;0.7;0.00017654;0.000489;3.6102199999999995e-05;0.001269035;5.7811000000000006e-05
10000600791;0.2;0.4;0.19;0.292;0.5;0.7;7.774e-05;0.000128;6.07344e-05;0.0005;0.00015
150000624977;0.2;0.8;0.15;0.921;0.4;0.7;0.00012964;0.000675;1.92059e-05;0.001;0.000175
210000603893;0.2;0.8;0.19;0.277;0.4;0.6;0.008;0.026156;3.05857e-05;0.08;0.0007404410000000001
250000619461;0.4;0.8;0.22;0.115;0.5;0.6;0.00951393;0.007417;0.00012827190000000001;0.089311172;0.000995736
190000603320;0.2;0.6;0.14;0.233;0.4;0.7;0.00029806;0.000277;0.00010760290000000001;0.001;9.8e-05
170000603131;0.4;0.4;0.27;0.221;0.5;0.7;3.29e-05;3.1e-05;0.000106129;0.00024918;0.0
90000620368;0.2;0.6;0.4;0.298;0.5;0.6;7.574e-05;0.000325;2.33046e-05;0.00025739999999999997;0.00014472200000000001
180000604126;0.4;0.8;0.4;0.277;0.5;0.6;0.00559901;0.016996;3.29431e-05;0.053202712;0.0005673319999999999
250000608458;0.4;0.6;0.31;0.999;0.5;0.7;7.5e-05;0.000165;4.5454499999999997e-05;0.000749;4e-06
190000619287;0.4;0.8;0.2;0.171;0.5;0.7;0.00206119;0.006215;3.31648e-05;0.01999924;7.6155e-05
190000608959;0.4;0.7;0.25;0.244;0.5;0.7;0.00050354;0.001972;2.5534499999999998e-05;0.005;0.0
170000615975;0.2;0.6;0.23;0.237;0.4;0.7;1.2e-05;0.00015;8e-06;0.0001;0.0
190000604193;0.2;0.6;0.22;0.277;0.5;0.6;0.01742737;0.018159;9.5971e-05;0.17192425;0.000505175
190000608701;0.4;0.8;0.45;0.117;0.5;0.7;0.00024448;0.000195;0.0001253744;0.002;0.0
