SQ_CANDIDATO;NR_VOTAVEL;CARGO_N;SITUCAO_N;RECEITA_TOTAL;QTD_VOTOS;CUSTO_VOTO;VR_TOTAL_BEM_CANDIDATO;Recursos_partido;Recursos_proprios;Recursos_outros_candidatos;Recursos_pessoas_fisicas;Rendimentos_aplicacoes;Financiamento_Coletivo;origens_nao_identificadas;Comercio_bens_ou_eventos;Doacoes_Internet;DESPESA_CONTRATADA
170000605128;14.0;0.3;0.4;0.681838092;0.1361588;0.0005007668193315452;0.167547205;0.3169;0.121655;0.48917;0.194326;0.0;0.00040092;0.0;0.0;0.0;0.68182878
170000607349;5088.0;0.6;0.4;0.000573;0.0002311;0.00024794461272176547;0.0;0.000573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00044332
170000626609;3633.0;0.6;0.4;0.00010196700000000001;3.289999999999999e-05;0.00030993009118541033;0.0;0.0001;0.0;0.0;0.0;0.0;1.9670000000000006e-05;0.0;0.0;0.0;1.967e-06
170000614073;1133.0;0.6;0.5;0.180988035;0.0036327;0.004982190519448344;0.322351121;0.17940799999999998;0.0;0.0;0.001580035;0.0;0.0;0.0;0.0;0.0;0.21034003499999987
170000617296;9007.0;0.6;0.5;4.6e-05;3.37e-05;0.00013649851632047474;0.00485;0.0;4.6e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6e-05
170000614159;2222.0;0.6;0.5;0.1818;0.0035353000000000003;0.005142420728085311;0.0136148009;0.18;0.0018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18018468499999954
170000603112;27666.0;0.7;0.5;0.00026000000000000003;1.7100000000000002e-05;0.0015204678362573099;0.0014889391;0.00026000000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002
170000614148;77677.0;0.7;0.5;0.002925;0.0001464;0.001997950819672131;0.003043985;0.002525;0.0004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0028924159999999997
170000621358;65513.0;0.7;0.5;0.00041749999999999996;7.900000000000001e-05;0.0005284810126582278;0.00033854;0.0;0.0;0.002175;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
170000621367;65753.0;0.7;0.5;0.0003045;1.4400000000000001e-05;0.0021145833333333333;0.0049;0.0;0.0;0.001045;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
170000617069;14444.0;0.7;0.5;0.112816538;0.0034674999999999997;0.003253541110310023;0.009013732;0.11281619300000002;0.0;0.0;3.4500000000000003e-07;0.0;0.0;0.0;0.0;0.0;0.11281642300000005
170000621382;65651.0;0.7;0.5;0.0023;6.47e-05;0.003554868624420402;0.002475;0.001;0.0;0.011000000000000001;0.0002;0.0;0.0;0.0;0.0;0.0;0.00193
170000616979;2013.0;0.6;0.5;0.000637;0.0006783;9.391124871001031e-05;0.0123543233;0.0;0.000537;0.0;0.0001;0.0;0.0;0.0;0.0;0.0;0.00038700000000000003
170000614075;1122.0;0.6;0.5;0.15;0.0006207999999999999;0.02416237113402062;0.0052186734;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14983271899999973
170000617366;70123.0;0.7;0.5;0.0073;0.0003337;0.002187593646988313;0.0;0.0;0.0;0.07;0.0003;0.0;0.0;0.0;0.0;0.0;0.006999999999999999
170000629020;90090.0;0.7;0.5;0.02;3.7000000000000006e-06;0.5405405405405405;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01227887
170000617008;45645.0;0.7;0.4;0.0042125;0.00015659999999999998;0.002689974457215837;9e-05;0.0042125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00399132
170000614073;1133.0;0.6;0.5;0.180988035;0.0036327;0.004982190519448344;0.322351121;0.17940799999999998;0.0;0.0;0.001580035;0.0;0.0;0.0;0.0;0.0;0.21034003499999987
170000617142;43143.0;0.7;0.5;0.001343333;3.97e-05;0.003383710327455919;0.0009699999999999999;0.001333333;0.0;0.0;1e-05;0.0;0.0;0.0;0.0;0.0;0.00121
170000629724;50170.0;0.7;0.5;7.4e-05;1.4e-06;0.005285714285714285;0.0;7.4e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170000617328;70400.0;0.7;0.5;0.00062;1.7199999999999998e-05;0.0036046511627906975;0.0;0.0003;0.0;0.0;0.00032;0.0;0.0;0.0;0.0;0.0;0.0
170000627513;0.0;0.0;0.4;0.0;0.0;0.0;0.0005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
