NR_VOTAVEL;CARGO_N;SITUCAO_N;RECEITA_TOTAL;QTD_VOTOS;CUSTO_VOTO;VR_TOTAL_BEM_CANDIDATO;Recursos_partido;Recursos_proprios;Recursos_outros_candidatos;Recursos_pessoas_fisicas;Rendimentos_aplicacoes;Financiamento_Coletivo;origens_nao_identificadas;Comercio_bens_ou_eventos;Doacoes_Internet;DESPESA_CONTRATADA
4040;0.6;0.2;0.17915831000000002;0.046038699999999995;0.00038914719572881077;0.0012339846;0.153786446;0.0;0.00955875;0.0244;0.15989;0.0;0.0;0.0;0.0;0.17089803299999992
1190;0.6;0.2;0.236758915;0.0082071;0.0028848060216154305;0.0052937144999999994;0.21084879999999998;0.0;0.0;0.025910115;0.0;0.0;0.0;0.0;0.0;0.23675891500000004
2211;0.6;0.5;0.0005;3.02e-05;0.0016556291390728475;0.006;0.0005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005
1133;0.6;0.5;0.180988035;0.0036327;0.004982190519448344;0.322351121;0.17940799999999998;0.0;0.0;0.001580035;0.0;0.0;0.0;0.0;0.0;0.21034003499999987
20611;0.7;0.5;0.019000182;0.000852;0.0022300683098591552;0.0033650199;0.0;0.001900182;0.16;0.0011;0.0;0.0;0.0;0.0;0.0;0.018300181999999998
50300;0.7;0.5;0.000389;2.54e-05;0.001531496062992126;0.0007;0.00027400000000000005;0.00011499999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000315
4577;0.6;0.5;0.0009884;0.0001419;0.0006965468639887245;0.0078758399;2.5e-05;2e-06;0.0;0.000735;0.0;0.002264;0.0;0.0;0.0;0.00039956
77177;0.7;0.5;0.005025;0.00041419999999999993;0.001213182037662965;0.0509389693;0.005025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003132041
11011;0.7;0.2;0.07631860700000001;0.0041857;0.001823317652961273;0.0100926065;0.06415119999999999;0.0044;0.0062413;0.007138299999999999;0.0;4.977000000000001e-05;0.0;0.0;0.0;0.068268407
11711;0.7;0.5;0.008650529;0.0007717000000000001;0.001120970454839964;2e-05;0.0;2.0529e-05;0.05;0.0036299999999999995;0.0;0.0;0.0;0.0;0.0;0.008650528999999999
3344;0.6;0.5;0.00066;2.11e-05;0.003127962085308057;0.0;0.0;0.0;0.0066;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11444;0.7;0.5;0.025877581;0.0025584;0.001011475179799875;0.00115;0.01;0.009359881;0.053176999999999995;0.0012;0.0;0.0;0.0;0.0;0.0;0.025559881000000003
2766;0.6;0.4;0.00026000000000000003;4.8200000000000006e-05;0.0005394190871369295;0.0;0.00026000000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019417
31631;0.7;0.5;0.0007;3.77e-05;0.0018567639257294434;0.0;0.0007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005
23451;0.7;0.4;0.00156;0.0001056;0.0014772727272727272;0.00366001;0.00106;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0015
2222;0.6;0.5;0.1818;0.0035353000000000003;0.005142420728085311;0.0136148009;0.18;0.0018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18018468499999954
2100;0.6;0.4;0.0006490000000000001;4.22e-05;0.0015379146919431278;0.0018537;0.0006490000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006
65113;0.7;0.2;0.02635132;0.0029441999999999997;0.0008950247945112426;0.015623627499999997;1.32e-06;0.0029850000000000002;0.1947;0.0038950000000000005;0.0;0.0;0.0;0.0;0.0;0.02570620300000001
2277;0.6;0.5;0.0001;4.9000000000000005e-06;0.002040816326530612;0.0;0.0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4010;0.6;0.2;0.13562239099999998;0.0091635;0.0014800282752223495;0.0094927788;0.13209739099999998;0.003;0.00275;0.00025;0.0;0.0;0.0;0.0;0.0;0.13170120400000002
25222;0.7;0.2;0.090852048;0.004612300000000001;0.001969777507967825;0.0025390154999999997;0.08;0.005;0.05;0.000852048;0.0;0.0;0.0;0.0;0.0;0.08981578900000005
5060;0.6;0.4;1.9e-05;9.5e-06;0.0002;0.0;1.9e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13100;0.7;0.5;0.00078497;9.520000000000001e-05;0.0008245483193277312;0.0;0.0005;0.0;0.002;7e-05;0.0;0.00014969999999999998;0.0;0.0;0.0;0.0007058979999999999
3356;0.6;0.5;0.00018;8.3e-06;0.002168674698795181;1.4999999999999999e-05;0.0;0.0;0.0018;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65060;0.7;0.5;0.000455;1.91e-05;0.0023821989528795807;0.0;0.0;0.0;0.00255;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
5011;0.6;0.4;0.00023500000000000002;3.69e-05;0.0006368563685636856;0.0;0.00023500000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001
65300;0.7;0.5;0.00028199999999999997;1.76e-05;0.0016022727272727276;0.0;0.0;0.0;0.00082;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
65651;0.7;0.5;0.0023;6.47e-05;0.003554868624420402;0.002475;0.001;0.0;0.011000000000000001;0.0002;0.0;0.0;0.0;0.0;0.0;0.00193
2121;0.6;0.4;0.0012371799999999998;0.00013340000000000002;0.0009274212893553225;0.000475;0.001;4.638e-05;0.0;0.0001908;0.0;0.0;0.0;0.0;0.0;0.00104638
17000;0.7;0.5;0.0113204;0.0007971;0.0014201982185422155;0.00035;0.0039;0.0;0.07325;9.54e-05;0.0;0.0;0.0;0.0;0.0;0.00789836
3010;0.6;0.4;0.001470569;0.0001268;0.0011597547318611984;0.0002796066;0.00010991599999999998;0.001358153;0.0;0.0;0.0;2.5e-05;0.0;0.0;0.0;0.001360653
28345;0.7;0.5;0.013065842;0.0004013;0.003255878893595814;0.0021858;0.0;0.00158386;0.11281982;0.0002;0.0;0.0;0.0;0.0;0.0;0.01196144
31000;0.7;0.5;0.0007;4.36e-05;0.0016055045871559632;0.0;0.0005;0.0;0.0;0.0002;0.0;0.0;0.0;0.0;0.0;0.000300268
65252;0.7;0.5;0.00044;5.8299999999999994e-05;0.0007547169811320754;0.0;0.0;0.0;0.0024;0.0002;0.0;0.0;0.0;0.0;0.0;0.0
5161;0.6;0.5;0.0003;1.24e-05;0.002419354838709677;0.0;0.0003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003
