NR_VOTAVEL,DS_CARGO,DS_SIT_TOT_TURNO,RECEITA_TOTAL,QTD_VOTOS,CUSTO_VOTO,VR_TOTAL_BEM_CANDIDATO,Recursos_partido,Recursos_proprios,Recursos_outros_candidatos,Recursos_pessoas_fisicas,Rendimentos_aplicacoes,Financiamento_Coletivo,origens_nao_identificadas,Comercio_bens_ou_eventos,Doacoes_Internet,0.000000000,0.000000000,0.000000000,0,0
40,GOVERNADOR,ELEITO,1.000000000000,1.00000000000,0.000758509,0.008465270,1.000000000,0.008219029,-0.000132548,0.792343420,1.000000000,-0.000198576,-0.003025794,#DIV/0!,,,,,,
130,SENADOR,ELEITO,0.233559549411,0.89331035367,0.000188702,0.011867611,0.286820246,-0.000000945,-0.000132548,0.005364176,-0.002063099,0.166621473,-0.003025794,#DIV/0!,,,,,,
156,SENADOR,ELEITO,0.292095822277,0.74590114367,0.000288603,0.052341951,0.332274392,0.006696648,-0.000132548,0.094272962,-0.002063099,0.046844472,-0.003025794,#DIV/0!,,,,,,
14,GOVERNADOR,NÃO ELEITO,0.852292015127,0.70981869631,0.000913911,0.519766147,0.491316788,1.000000000,0.589307017,1.000000000,-0.002063099,0.008068605,-0.003025794,#DIV/0!,,,,,,
252,SENADOR,NÃO ELEITO,0.396557247625,0.67898695560,0.000438455,0.041378907,0.361859159,-0.000000945,-0.000132548,0.429946602,-0.002063099,-0.000198576,1.000000000,#DIV/0!,,,,,,
456,SENADOR,NÃO ELEITO,0.358345709261,0.48241127964,0.000560557,0.161849326,0.295812512,0.000159328,-0.000132548,0.493042995,-0.002063099,0.010111687,-0.003025794,#DIV/0!,,,,,,
700,SENADOR,NÃO ELEITO,0.052679146082,0.35472193463,0.000101751,0.040782613,0.047749989,-0.000000945,0.032401885,0.043224632,-0.002063099,0.050797839,-0.003025794,#DIV/0!,,,,,,
4040,DEPUTADO FEDERAL,ELEITO POR QP,0.223942766744,0.24000713162,0.000706709,0.003828045,0.238427040,-0.000000945,0.011385545,0.125560647,0.505427538,-0.000198576,-0.003025794,#DIV/0!,,,,,,
40190,DEPUTADO ESTADUAL,ELEITO POR QP,0.076138603194,0.21511371492,0.000260853,0.006204384,0.090146191,-0.000000945,0.022384894,0.004633202,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1310,DEPUTADO FEDERAL,ELEITO POR QP,0.160444671411,0.10066999684,0.001217315,0.040273497,0.155037030,0.221938355,-0.000132548,0.003383398,-0.002063099,0.144551119,-0.003025794,#DIV/0!,,,,,,
180,SENADOR,NÃO ELEITO,0.002520048078,0.09960181794,0.000007400,-0.000000031,0.003098735,-0.000000945,-0.000132548,-0.000001775,-0.002063099,0.003925529,-0.003025794,#DIV/0!,,,,,,
50,GOVERNADOR,NÃO ELEITO,0.016181891411,0.09805246328,0.000114701,-0.000000031,0.013297206,-0.000000945,-0.000132548,0.021327282,-0.002063099,0.046548155,-0.003025794,#DIV/0!,,,,,,
18,GOVERNADOR,NÃO ELEITO,0.026605755963,0.09200779056,0.000210903,0.068446788,0.003873930,0.145995247,0.004147538,0.001135311,-0.002063099,0.092854844,-0.003025794,#DIV/0!,,,,,,
2020,DEPUTADO FEDERAL,ELEITO POR QP,0.112255719405,0.09166476386,0.000932411,0.052400774,0.074416710,0.030494978,0.244189832,0.091713114,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
500,SENADOR,NÃO ELEITO,0.005690795661,0.07417248717,0.000046251,0.012611592,0.003436720,0.012317508,-0.000132548,0.004320865,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
2233,DEPUTADO FEDERAL,ELEITO POR QP,0.194212791913,0.06775924321,0.002197827,0.041466675,0.217052661,0.053428886,-0.000132548,0.045643253,0.134799721,-0.000198576,-0.003025794,#DIV/0!,,,,,,
90,GOVERNADOR,NÃO ELEITO,0.082788736874,0.06762057284,0.000932411,0.138532789,0.099222963,-0.000000945,-0.000132548,0.011499537,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
5151,DEPUTADO FEDERAL,ELEITO POR QP,0.059370004730,0.06517715922,0.000690058,0.017992772,0.048292626,0.014795008,0.120365350,0.023412529,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
5555,DEPUTADO FEDERAL,ELEITO POR QP,0.162080318914,0.06184907034,0.002009124,0.059255369,0.166823025,0.004109042,-0.000132548,0.099045877,-0.002063099,0.477963154,-0.003025794,#DIV/0!,,,,,,
1717,DEPUTADO FEDERAL,ELEITO POR QP,0.243744864145,0.06148519094,0.003045137,0.557792173,0.279068292,-0.000000945,-0.000132548,0.077188238,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
4004,DEPUTADO FEDERAL,ELEITO POR QP,0.216847299654,0.05956935030,0.002795384,0.185376072,0.204227692,-0.000000945,0.000108448,0.214571524,-0.002063099,0.007415141,-0.003025794,#DIV/0!,,,,,,
505,SENADOR,NÃO ELEITO,0.003181337574,0.05927480610,0.000027750,-0.000000031,0.003506537,-0.000000945,-0.000132548,-0.000001775,-0.002063099,0.058776126,-0.003025794,#DIV/0!,,,,,,
1111,DEPUTADO FEDERAL,ELEITO POR QP,0.254173999942,0.05924196311,0.003296740,0.041445460,0.314561876,-0.000000945,-0.000132548,0.002313925,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1010,DEPUTADO FEDERAL,ELEITO POR QP,0.147235805233,0.05691949507,0.001983224,0.026190610,0.157885980,-0.000000945,-0.000132548,0.081845369,-0.002063099,0.010137463,-0.003025794,#DIV/0!,,,,,,
11611,DEPUTADO ESTADUAL,ELEITO POR QP,0.104594970246,0.05546449882,0.001443017,0.038636608,0.124029215,0.030248559,-0.000132548,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
2323,DEPUTADO FEDERAL,ELEITO POR QP,0.181327772988,0.05095562652,0.002732483,0.026364126,0.201982486,0.031946247,-0.000132548,0.056089635,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
